Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ADFA/construction/fromList,0.2663913374074036,0.26565514184721645,0.26751699205633483,1.0637169119841825e-3,8.208339240117421e-5,1.340835725350588e-3
ADFA/construction/fromAscList,0.1931284594532862,0.19222780035397902,0.19402636329212414,1.2154676783610512e-3,7.698586124574296e-4,1.5638137177331265e-3
ADFA/query/isEmpty,6.442242230299996e-7,6.18945996753919e-7,6.636198940492724e-7,6.120446831636126e-8,5.1140238670503495e-8,7.33094318453413e-8
ADFA/query/stringCount,1.203336224081054e-2,1.1503671719161716e-2,1.2373779410148977e-2,1.0030515055804606e-3,5.938645860825446e-4,1.467858381836075e-3
ADFA/query/enumerate10,2.873421184173356e-6,2.7865817837282546e-6,2.9522620067053422e-6,2.2467740421335977e-7,1.8301525095939293e-7,2.6881229760785276e-7
ADFA/query/match,1.8733811128824514e-4,1.803616843697029e-4,1.9429811717102793e-4,2.0028322722350364e-5,1.7141129507365255e-5,2.4810058407600664e-5
ADFA/optimize/minify,0.763051218240423,0.7293603184824211,0.7815528841611158,2.9597212859805117e-2,1.3530843112619095e-16,3.204582539930535e-2
ADFA/optimize/topSort,0.20312812495675395,0.19275915255953027,0.2121172529083643,1.2957445780704173e-2,9.991879181655913e-3,1.4681121352516592e-2
ADFA/optimize/prune,7.01544442499676e-2,6.788815024932096e-2,7.227121476670349e-2,3.6938268951606412e-3,2.3942447350945263e-3,5.28343945407139e-3
ADFA/combine/union,0.11706023874419753,0.11456732555141004,0.12058723050737427,4.450050983049253e-3,1.7941394478350925e-3,7.1410405295510935e-3
ADFA/combine/intersection,9.569414284838344e-2,9.394900008885809e-2,9.7330283466633e-2,2.6454389822777088e-3,1.9326003635675214e-3,3.715058497588618e-3
ADFA/combine/difference,0.10616936785580952,0.10464083686608758,0.10827805736075881,2.9025092418162963e-3,1.5046229864523102e-3,4.126243283422862e-3
ADFA/combine/append,2.5427618484871378e-2,2.41700806180558e-2,2.6434789769990846e-2,2.7070103077351105e-3,2.0298551855089542e-3,3.7031111552244204e-3
ADFA/combine/prefixes,3.401484336521855e-2,3.194493410752094e-2,3.4691343596222925e-2,2.002314260526197e-3,1.1026272871375545e-3,3.4570889571207443e-3
ADFA/combine/suffixes,0.6221594843239661,0.6153538289816685,0.6261614269955779,6.161830696524074e-3,0.0,6.931568036209637e-3
Trie/construction/fromList,0.26122042157231284,0.25567843754979547,0.2654972020293298,5.565077699529908e-3,2.151115152362801e-3,7.474889510671441e-3
Trie/construction/fromAscList,7.097731647239068e-2,6.902334852521164e-2,7.258162518120373e-2,2.9701303288121946e-3,2.0536931312723624e-3,4.4287926566230675e-3
Trie/query/isEmpty,8.513482589330717e-9,8.08140956601129e-9,9.532591227153294e-9,1.3630533567336894e-9,6.879811559153519e-10,2.3534977719270864e-9
Trie/query/stringCount,1.0442625400432767e-2,1.0124746202277405e-2,1.0806320825803776e-2,8.949111189455268e-4,6.507661229865402e-4,1.1083516349421724e-3
Trie/query/enumerate10,2.6486028959985607e-6,2.3920820370189103e-6,3.048623843992812e-6,8.141502112012389e-7,6.879654466350004e-7,1.02434977961056e-6
Trie/query/match,1.5506159132574552e-4,1.4954140031571655e-4,1.59556677448736e-4,1.448256052799587e-5,1.2171861087589254e-5,1.7839935864861792e-5
Trie/combine/union,3.502083099119934e-2,3.209161165831729e-2,3.599090593252422e-2,3.042842087879912e-3,1.2160438189216653e-3,5.2190832419134695e-3
Trie/combine/intersection,5.195919677484385e-2,4.9148764565601535e-2,5.361470463763107e-2,3.912058353141223e-3,1.967119498224749e-3,6.167817615356772e-3
Trie/combine/difference,1.6764752858474483e-2,1.5972942318718476e-2,1.725670045574465e-2,1.3216629464964185e-3,8.046146259050689e-4,2.008881133612216e-3
Trie/combine/append,7.221146489854363e-2,7.06099047574232e-2,7.335544741419335e-2,2.2819954860104665e-3,1.4983028789847287e-3,3.2790767270082506e-3
Trie/combine/prefixes,2.76197555284604e-2,2.558162200335406e-2,2.8674927381458888e-2,2.9316641945137363e-3,1.0692176183687222e-3,4.664077226584124e-3
Trie/combine/suffixes,0.7285562231890038,0.726759092242823,0.7296087171075799,1.6234239819769064e-3,0.0,1.8229729416313083e-3
Set/construction/fromList,0.29691029070355096,0.29024974710683593,0.30128458494563043,6.648569839545218e-3,3.389109378241273e-3,8.494622128922507e-3
Set/construction/fromAscList,2.224427867595111e-2,2.0977031165436356e-2,2.3026382640425933e-2,2.008563431888535e-3,1.3526588014810175e-3,2.796810775048892e-3
Set/query/isEmpty,6.417861119693912e-9,6.1977800868382434e-9,6.639038409303056e-9,4.1184989090103844e-10,3.3832361276228144e-10,4.992089167501956e-10
Set/query/stringCount,8.286662600369727e-9,7.103529643618207e-9,1.0032518596297765e-8,2.761970083855449e-9,1.6770914092703451e-9,3.3624870278796783e-9
Set/query/enumerate10,4.294163821511154e-7,3.9195526798962195e-7,5.310741541568031e-7,1.2637624305147697e-7,6.693232060147572e-8,2.0881636364351462e-7
Set/query/match,3.543349425146038e-4,3.398204630435303e-4,3.64762814559639e-4,3.44245245741396e-5,2.877905214009474e-5,4.140602655046316e-5
Set/combine/union,3.0125610713682617e-2,2.8866027526866546e-2,3.0896051396558304e-2,2.126026848476855e-3,1.1366539464271904e-3,3.268054961507366e-3
Set/combine/intersection,2.6918461711181656e-2,2.562212286233943e-2,2.765457185825492e-2,2.1728798850266778e-3,1.2385446716681118e-3,3.3371207291232326e-3
Set/combine/difference,2.1980122000203883e-2,2.0613964296576037e-2,2.2696738804747322e-2,2.0286890214669564e-3,7.745574546344906e-4,3.2112317117406913e-3
Set/combine/append,0.3403526635467729,0.3394645516635917,0.34112018482230183,1.238234807346413e-3,0.0,1.3293858451061714e-3
Set/combine/prefixes,0.6219492493259456,0.6163513794907236,0.6261069016595323,6.333808267333845e-3,0.0,7.201265081979419e-3
Set/combine/suffixes,1.068913560076492,1.0586555704956742,1.0736814684926121,8.949481158558759e-3,0.0,9.509099514933204e-3
